CHEBI	BIGG
chebi:57261	CE2754
chebi:11684	HC02187
chebi:57261	HC02187
chebi:12783	retinol
chebi:17336	retinol
chebi:22349	retinol
chebi:8816	retinol
chebi:78272	retinol_9_cis
chebi:13445	udp
chebi:17659	udp
chebi:27230	udp
chebi:46402	udp
chebi:58223	udp
chebi:9802	udp
chebi:12124	ppmi12346p
chebi:2119	ppmi12346p
chebi:30164	ppmi12346p
chebi:58628	ppmi12346p
chebi:10243	M01966
chebi:12319	M01966
chebi:18148	M01966
chebi:22387	M01966
chebi:42761	M01966
chebi:58392	M01966
chebi:10925	mlthf
chebi:15636	mlthf
chebi:18602	mlthf
chebi:1989	mlthf
chebi:10049	xtp
chebi:59885	xtp
chebi:61314	xtp
chebi:1074	2ins
chebi:12115	2ins
chebi:16669	2ins
chebi:19550	2ins
chebi:2047	2ins
chebi:20560	2ins
chebi:27972	2ins
chebi:12741	ahcys
chebi:12759	ahcys
chebi:12761	ahcys
chebi:16680	ahcys
chebi:22034	ahcys
chebi:45495	ahcys
chebi:57856	ahcys
chebi:67009	ahcys
chebi:8945	ahcys
chebi:25531	nicrns
chebi:27748	nicrns
chebi:58527	nicrns
chebi:61161	nicrns
chebi:7560	nicrns
chebi:133520	CE1554
chebi:21544	CE1554
chebi:40986	CE1554
chebi:40992	CE1554
chebi:1333	3amp
chebi:22241	3amp
chebi:28931	3amp
chebi:40872	3amp
chebi:60880	3amp
chebi:66915	udpgalfur
chebi:67118	udpgalfur
chebi:1361	3ump
chebi:27229	3ump
chebi:28895	3ump
chebi:46259	3ump
chebi:556513	3ump
chebi:60784	3ump
chebi:13254	cdp
chebi:17239	cdp
chebi:23519	cdp
chebi:3260	cdp
chebi:41451	cdp
chebi:58069	cdp
chebi:50606	db4p
chebi:11304	10fthf
chebi:15637	10fthf
chebi:19108	10fthf
chebi:19109	10fthf
chebi:57454	10fthf
chebi:698	10fthf
chebi:10698	CE5956
chebi:62639	CE5956
chebi:10698	ttc_ggdp
chebi:62639	ttc_ggdp
chebi:11979	coucoa
chebi:15499	coucoa
chebi:1813	coucoa
chebi:20349	coucoa
chebi:57355	coucoa
chebi:85008	coucoa
chebi:85531	coucoa
chebi:25201	mescoa
chebi:27969	mescoa
chebi:6774	mescoa
chebi:75635	mescoa
chebi:19195	mi34p
chebi:28858	mi34p
chebi:4277	mi34p
chebi:83241	mi34p
chebi:929	HC01652
chebi:13268	cdpchol
chebi:16436	cdpchol
chebi:20867	cdpchol
chebi:3268	cdpchol
chebi:41440	cdpchol
chebi:49086	cdpchol
chebi:58779	cdpchol
chebi:12059	aps
chebi:13741	aps
chebi:13743	aps
chebi:17709	aps
chebi:22247	aps
chebi:2486	aps
